opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00004756,4756,ACC000323,Returning User - ACC000323,Closed Won,348.50,100,2024-05-31,2024-05-20,App Store,Returning User,
OPP00004757,4757,ACC000174,New User - ACC000174,Closed Won,348.68,100,2024-05-23,2024-05-12,Google Ads,New User,
OPP00004758,,ACC000295,Returning User - ACC000295,Activated,98.22,50,,2024-05-12,Play Store,Returning User,35
OPP00004759,,ACC000082,New User - ACC000082,Signup Complete,279.38,10,,2024-05-09,Referral,New User,20
OPP00004760,,ACC000350,New User - ACC000350,Signup Complete,53.47,10,,2024-04-22,TikTok,New User,8
OPP00004761,,ACC000928,New User - ACC000928,Activated,173.73,75,,2024-05-16,Google Ads,New User,36
OPP00004762,4762,ACC000272,New User - ACC000272,Closed Won,186.12,100,2024-05-22,2024-05-10,App Store,New User,68
OPP00004763,4763,ACC000361,New User - ACC000361,Closed Won,349.74,100,2024-05-26,2024-04-23,Referral,New User,
OPP00004764,4764,ACC001000,Returning User - ACC001000,Closed Won,114.49,100,2024-06-01,2024-04-30,App Store,Returning User,
OPP00004765,,ACC000055,Returning User - ACC000055,Verification Pending,197.62,75,,2024-04-24,Google Ads,Returning User,79
OPP00004766,,ACC000323,Premium Upgrade - ACC000323,Activated,63.39,50,,2024-05-11,Google Ads,Premium Upgrade,
OPP00004767,4767,ACC000813,New User - ACC000813,Closed Won,435.43,100,2024-06-04,2024-05-19,Email,New User,91
OPP00004768,,ACC000573,New User - ACC000573,Signup Complete,215.39,25,,2024-05-14,Email,New User,
OPP00004769,,ACC000073,Returning User - ACC000073,Activated,132.33,75,,2024-05-21,Instagram,Returning User,
OPP00004770,,ACC000316,New User - ACC000316,Lead,108.31,75,,2024-05-19,Instagram,New User,
OPP00004771,,ACC000157,New User - ACC000157,Signup Complete,286.36,75,,2024-05-11,Organic Search,New User,70
OPP00004772,,ACC000424,Returning User - ACC000424,Signup Complete,190.62,25,,2024-05-03,Facebook Ads,Returning User,
OPP00004773,,ACC000336,New User - ACC000336,Verification Pending,133.69,50,,2024-04-28,App Store,New User,
OPP00004774,4774,ACC000047,New User - ACC000047,Closed Won,228.52,100,2024-06-02,2024-05-07,Influencer,New User,
OPP00004775,,ACC000648,Premium Upgrade - ACC000648,Activated,87.13,25,,2024-05-11,TikTok,Premium Upgrade,1
OPP00004776,4776,ACC000548,New User - ACC000548,Closed Won,127.72,100,2024-06-02,2024-04-26,TikTok,New User,63
OPP00004777,,ACC000647,New User - ACC000647,Signup Complete,121.58,10,,2024-05-10,TikTok,New User,
OPP00004778,,ACC000920,Premium Upgrade - ACC000920,Verification Pending,288.48,25,,2024-04-27,Email,Premium Upgrade,81
OPP00004779,,ACC000857,New User - ACC000857,Lead,219.05,10,,2024-05-01,Instagram,New User,40
OPP00004780,,ACC000536,Returning User - ACC000536,Signup Complete,296.82,50,,2024-05-18,Influencer,Returning User,95
OPP00004781,,ACC000673,New User - ACC000673,Activated,206.69,75,,2024-05-13,Organic Search,New User,83
OPP00004782,4782,ACC000033,New User - ACC000033,Closed Won,453.09,100,2024-05-30,2024-05-20,TikTok,New User,
OPP00004783,,ACC000972,New User - ACC000972,Activated,230.07,50,,2024-05-03,App Store,New User,100
OPP00004784,4784,ACC000088,New User - ACC000088,Closed Won,493.66,100,2024-06-05,2024-05-01,Play Store,New User,3
OPP00004785,,ACC000204,New User - ACC000204,Activated,269.13,50,,2024-04-28,Organic Search,New User,61
OPP00004786,4786,ACC000690,New User - ACC000690,Closed Won,473.48,100,2024-06-01,2024-05-19,Facebook Ads,New User,
OPP00004787,,ACC000631,New User - ACC000631,Verification Pending,70.00,10,,2024-05-04,App Store,New User,
OPP00004788,,ACC000320,New User - ACC000320,Activated,136.96,25,,2024-05-01,App Store,New User,30
OPP00004789,4789,ACC000208,New User - ACC000208,Closed Won,250.98,100,2024-05-31,2024-05-03,Play Store,New User,
OPP00004790,,ACC000254,New User - ACC000254,Activated,156.96,10,,2024-05-01,Instagram,New User,91
OPP00004791,,ACC000606,New User - ACC000606,Activated,58.55,75,,2024-04-23,Facebook Ads,New User,
OPP00004792,,ACC000925,New User - ACC000925,Verification Pending,53.42,25,,2024-05-22,Influencer,New User,
OPP00004793,,ACC000812,Returning User - ACC000812,Activated,239.15,75,,2024-05-04,App Store,Returning User,77
OPP00004794,,ACC000906,New User - ACC000906,Lead,149.44,10,,2024-05-18,Instagram,New User,
OPP00004795,,ACC000861,New User - ACC000861,Activated,210.25,10,,2024-05-19,Email,New User,25
OPP00004796,,ACC000422,New User - ACC000422,Lead,145.79,25,,2024-05-08,Instagram,New User,42
OPP00004797,,ACC000238,New User - ACC000238,Lead,234.34,25,,2024-05-01,App Store,New User,
OPP00004798,,ACC000984,New User - ACC000984,Activated,105.28,50,,2024-05-11,Email,New User,31
OPP00004799,,ACC000523,New User - ACC000523,Activated,137.75,25,,2024-05-19,TikTok,New User,
OPP00004800,,ACC000626,New User - ACC000626,Activated,177.28,50,,2024-05-09,Referral,New User,
OPP00004801,,ACC000950,Returning User - ACC000950,Lead,158.36,50,,2024-05-05,App Store,Returning User,84
OPP00004802,,ACC000597,Returning User - ACC000597,Activated,55.74,75,,2024-05-22,Google Ads,Returning User,
OPP00004803,,ACC000113,Returning User - ACC000113,Signup Complete,205.80,10,,2024-05-09,App Store,Returning User,45
OPP00004804,,ACC000278,New User - ACC000278,Signup Complete,101.81,50,,2024-05-16,Influencer,New User,85
OPP00004805,,ACC000959,Returning User - ACC000959,Lead,95.95,50,,2024-05-12,Organic Search,Returning User,61
OPP00004806,4806,ACC000938,New User - ACC000938,Closed Won,256.45,100,2024-05-23,2024-05-06,App Store,New User,82
OPP00004807,,ACC000286,New User - ACC000286,Activated,140.96,50,,2024-04-25,Influencer,New User,
OPP00004808,,ACC000253,New User - ACC000253,Signup Complete,157.04,10,,2024-05-06,Instagram,New User,36
OPP00004809,,ACC000356,Premium Upgrade - ACC000356,Signup Complete,125.93,25,,2024-04-23,TikTok,Premium Upgrade,
OPP00004810,,ACC000631,New User - ACC000631,Verification Pending,105.46,25,,2024-05-22,Email,New User,
OPP00004811,,ACC000391,New User - ACC000391,Signup Complete,96.86,75,,2024-04-23,Facebook Ads,New User,
OPP00004812,,ACC000629,New User - ACC000629,Lead,116.85,50,,2024-05-19,Play Store,New User,75
OPP00004813,,ACC000823,New User - ACC000823,Activated,159.96,10,,2024-05-16,TikTok,New User,
OPP00004814,,ACC000577,New User - ACC000577,Activated,238.57,75,,2024-05-19,TikTok,New User,1
OPP00004815,4815,ACC000438,Premium Upgrade - ACC000438,Closed Won,99.48,100,2024-05-28,2024-05-13,Email,Premium Upgrade,
OPP00004816,,ACC000134,New User - ACC000134,Verification Pending,57.95,25,,2024-05-11,Email,New User,
OPP00004817,,ACC000522,Premium Upgrade - ACC000522,Signup Complete,225.96,75,,2024-05-13,Instagram,Premium Upgrade,51
OPP00004818,4818,ACC000283,Returning User - ACC000283,Closed Won,406.89,100,2024-05-24,2024-05-06,Google Ads,Returning User,
OPP00004819,,ACC000479,New User - ACC000479,Activated,299.07,10,,2024-05-21,App Store,New User,12
OPP00004820,4820,ACC000350,New User - ACC000350,Closed Won,66.85,100,2024-05-29,2024-04-30,Play Store,New User,
OPP00004821,,ACC000658,Premium Upgrade - ACC000658,Signup Complete,261.60,75,,2024-04-25,App Store,Premium Upgrade,100
OPP00004822,,ACC000205,New User - ACC000205,Signup Complete,261.01,50,,2024-05-18,Influencer,New User,42
OPP00004823,,ACC000990,New User - ACC000990,Activated,72.60,10,,2024-05-12,App Store,New User,
OPP00004824,,ACC000236,New User - ACC000236,Signup Complete,144.11,10,,2024-05-15,Google Ads,New User,52
OPP00004825,4825,ACC000828,New User - ACC000828,Closed Won,203.53,100,2024-06-07,2024-05-14,TikTok,New User,8
OPP00004826,,ACC001000,New User - ACC001000,Verification Pending,114.70,25,,2024-04-30,Instagram,New User,49
OPP00004827,,ACC000902,New User - ACC000902,Lead,275.58,10,,2024-05-07,Referral,New User,71
OPP00004828,,ACC000768,New User - ACC000768,Verification Pending,272.03,50,,2024-05-14,Facebook Ads,New User,
OPP00004829,4829,ACC000160,Returning User - ACC000160,Closed Won,406.05,100,2024-05-24,2024-05-16,TikTok,Returning User,17
OPP00004830,4830,ACC000270,New User - ACC000270,Closed Won,477.21,100,2024-06-02,2024-04-28,Organic Search,New User,12
OPP00004831,,ACC000038,New User - ACC000038,Lead,195.23,75,,2024-05-16,Google Ads,New User,63
OPP00004832,,ACC000227,Returning User - ACC000227,Signup Complete,65.28,50,,2024-04-29,Instagram,Returning User,23
OPP00004833,,ACC000731,New User - ACC000731,Verification Pending,77.38,50,,2024-05-18,Influencer,New User,
OPP00004834,,ACC000588,Returning User - ACC000588,Lead,98.80,75,,2024-05-03,App Store,Returning User,28
OPP00004835,,ACC000063,New User - ACC000063,Lead,213.99,25,,2024-05-08,Instagram,New User,50
OPP00004836,4836,ACC000369,New User - ACC000369,Closed Won,321.84,100,2024-06-02,2024-04-30,App Store,New User,
OPP00004837,,ACC000473,New User - ACC000473,Lead,87.29,25,,2024-05-23,Google Ads,New User,84
OPP00004838,,ACC000356,New User - ACC000356,Activated,245.59,10,,2024-05-05,App Store,New User,
OPP00004839,4839,ACC000728,New User - ACC000728,Closed Won,339.99,100,2024-05-26,2024-05-22,Instagram,New User,64
OPP00004840,4840,ACC000329,New User - ACC000329,Closed Won,383.84,100,2024-06-05,2024-05-01,Organic Search,New User,
OPP00004841,,ACC000387,New User - ACC000387,Verification Pending,174.12,25,,2024-05-04,Play Store,New User,5
OPP00004842,4842,ACC000641,New User - ACC000641,Closed Won,250.71,100,2024-05-26,2024-05-12,Google Ads,New User,20
OPP00004843,,ACC000961,New User - ACC000961,Signup Complete,93.39,25,,2024-05-01,Facebook Ads,New User,11
OPP00004844,,ACC000254,New User - ACC000254,Activated,203.22,25,,2024-05-05,Instagram,New User,96
OPP00004845,4845,ACC000411,New User - ACC000411,Closed Won,144.79,100,2024-06-07,2024-05-04,Google Ads,New User,27
OPP00004846,,ACC000415,New User - ACC000415,Activated,252.27,75,,2024-04-24,Influencer,New User,
OPP00004847,4847,ACC000215,New User - ACC000215,Closed Won,290.10,100,2024-05-27,2024-05-02,Organic Search,New User,71
OPP00004848,,ACC000385,New User - ACC000385,Lead,206.98,25,,2024-04-27,App Store,New User,14
OPP00004849,4849,ACC000342,New User - ACC000342,Closed Won,368.66,100,2024-05-24,2024-05-20,Instagram,New User,
OPP00004850,,ACC000287,Returning User - ACC000287,Lead,87.35,25,,2024-04-24,Email,Returning User,46
OPP00004851,,ACC000955,New User - ACC000955,Signup Complete,255.46,10,,2024-05-11,Facebook Ads,New User,16
OPP00004852,,ACC000492,New User - ACC000492,Activated,239.45,50,,2024-04-26,Email,New User,56
OPP00004853,,ACC000311,Returning User - ACC000311,Activated,78.57,25,,2024-04-26,Influencer,Returning User,88
OPP00004854,,ACC000964,Returning User - ACC000964,Activated,130.94,50,,2024-05-07,Organic Search,Returning User,26
OPP00004855,4855,ACC000266,New User - ACC000266,Closed Won,374.92,100,2024-06-05,2024-04-25,TikTok,New User,73
OPP00004856,4856,ACC000264,New User - ACC000264,Closed Won,423.91,100,2024-05-27,2024-04-30,Play Store,New User,50
OPP00004857,,ACC000971,Returning User - ACC000971,Signup Complete,254.69,75,,2024-05-14,Referral,Returning User,73
OPP00004858,,ACC000156,New User - ACC000156,Activated,255.31,75,,2024-05-04,Referral,New User,99
OPP00004859,4859,ACC000905,New User - ACC000905,Closed Won,64.16,100,2024-06-02,2024-04-25,Google Ads,New User,23
OPP00004860,4860,ACC000014,New User - ACC000014,Closed Won,237.68,100,2024-05-27,2024-05-23,Email,New User,32
OPP00004861,4861,ACC000191,New User - ACC000191,Closed Won,206.58,100,2024-05-26,2024-05-08,Instagram,New User,
OPP00004862,4862,ACC000748,New User - ACC000748,Closed Won,188.56,100,2024-06-05,2024-05-12,Email,New User,27
OPP00004863,4863,ACC000342,New User - ACC000342,Closed Won,434.77,100,2024-06-03,2024-05-19,Facebook Ads,New User,2
OPP00004864,,ACC000285,New User - ACC000285,Lead,295.27,50,,2024-05-25,Organic Search,New User,35
OPP00004865,,ACC000437,New User - ACC000437,Verification Pending,215.66,50,,2024-05-15,Organic Search,New User,
OPP00004866,,ACC000931,New User - ACC000931,Activated,220.23,50,,2024-05-13,Instagram,New User,7
OPP00004867,,ACC000473,New User - ACC000473,Signup Complete,242.54,75,,2024-05-10,Play Store,New User,26
OPP00004868,4868,ACC000630,New User - ACC000630,Closed Won,395.84,100,2024-06-06,2024-05-23,App Store,New User,
OPP00004869,,ACC000171,New User - ACC000171,Activated,131.32,50,,2024-05-13,TikTok,New User,18
OPP00004870,,ACC000144,Returning User - ACC000144,Signup Complete,121.59,10,,2024-05-24,Play Store,Returning User,47
OPP00004871,,ACC000873,Premium Upgrade - ACC000873,Signup Complete,129.76,50,,2024-05-22,Instagram,Premium Upgrade,58
OPP00004872,,ACC000823,Returning User - ACC000823,Activated,165.17,10,,2024-05-08,Email,Returning User,17
OPP00004873,4873,ACC000827,New User - ACC000827,Closed Won,168.73,100,2024-05-27,2024-04-25,Email,New User,52
OPP00004874,,ACC000707,Returning User - ACC000707,Activated,222.53,50,,2024-05-22,App Store,Returning User,
OPP00004875,,ACC000501,New User - ACC000501,Activated,153.93,75,,2024-05-09,Play Store,New User,17
OPP00004876,,ACC000928,New User - ACC000928,Signup Complete,85.96,10,,2024-04-29,Organic Search,New User,
OPP00004877,4877,ACC000147,New User - ACC000147,Closed Won,199.40,100,2024-06-01,2024-04-30,TikTok,New User,
OPP00004878,,ACC000741,New User - ACC000741,Activated,266.46,50,,2024-05-21,Facebook Ads,New User,
OPP00004879,,ACC000281,New User - ACC000281,Verification Pending,184.60,50,,2024-05-19,Play Store,New User,25
OPP00004880,4880,ACC000050,New User - ACC000050,Closed Won,127.52,100,2024-05-26,2024-05-23,Referral,New User,100
OPP00004881,,ACC000341,New User - ACC000341,Activated,137.95,50,,2024-05-09,Google Ads,New User,68
OPP00004882,,ACC000255,New User - ACC000255,Activated,115.21,10,,2024-05-24,App Store,New User,62
OPP00004883,,ACC000117,Returning User - ACC000117,Activated,110.66,25,,2024-04-28,Organic Search,Returning User,2
OPP00004884,4884,ACC000136,New User - ACC000136,Closed Won,465.97,100,2024-05-25,2024-05-11,Influencer,New User,40
OPP00004885,4885,ACC000474,Returning User - ACC000474,Closed Won,145.86,100,2024-05-31,2024-05-24,App Store,Returning User,91
OPP00004886,,ACC000717,Returning User - ACC000717,Lead,188.40,50,,2024-05-12,Organic Search,Returning User,44
OPP00004887,,ACC000287,Premium Upgrade - ACC000287,Signup Complete,233.97,10,,2024-05-15,TikTok,Premium Upgrade,
OPP00004888,,ACC000648,New User - ACC000648,Signup Complete,54.64,10,,2024-05-14,Referral,New User,
OPP00004889,4889,ACC000359,New User - ACC000359,Closed Won,479.83,100,2024-05-26,2024-04-28,App Store,New User,69
OPP00004890,,ACC000979,New User - ACC000979,Activated,188.74,75,,2024-05-22,App Store,New User,46
OPP00004891,4891,ACC000675,New User - ACC000675,Closed Won,219.02,100,2024-06-07,2024-05-14,App Store,New User,
OPP00004892,,ACC000913,New User - ACC000913,Signup Complete,276.34,10,,2024-05-13,Email,New User,8
OPP00004893,4893,ACC000384,New User - ACC000384,Closed Won,156.80,100,2024-06-09,2024-05-08,Facebook Ads,New User,
OPP00004894,,ACC000055,New User - ACC000055,Activated,296.31,10,,2024-05-03,Instagram,New User,
OPP00004895,,ACC000674,New User - ACC000674,Signup Complete,127.96,75,,2024-05-13,Influencer,New User,17
OPP00004896,,ACC000663,New User - ACC000663,Verification Pending,136.31,10,,2024-05-11,Organic Search,New User,36
OPP00004897,,ACC000139,New User - ACC000139,Verification Pending,59.85,25,,2024-05-02,Instagram,New User,14
OPP00004898,4898,ACC000533,Premium Upgrade - ACC000533,Closed Won,51.48,100,2024-05-28,2024-05-02,Play Store,Premium Upgrade,93
OPP00004899,4899,ACC000909,New User - ACC000909,Closed Won,350.46,100,2024-06-07,2024-05-14,Play Store,New User,
OPP00004900,,ACC000916,New User - ACC000916,Activated,143.44,75,,2024-05-16,Email,New User,
OPP00004901,,ACC000969,New User - ACC000969,Signup Complete,146.85,25,,2024-04-30,App Store,New User,45
OPP00004902,,ACC000219,Returning User - ACC000219,Activated,51.61,50,,2024-05-13,Google Ads,Returning User,57
OPP00004903,4903,ACC000985,Returning User - ACC000985,Closed Won,140.10,100,2024-06-04,2024-05-09,Play Store,Returning User,77
OPP00004904,,ACC000341,New User - ACC000341,Activated,202.51,75,,2024-04-27,Email,New User,
OPP00004905,,ACC000533,New User - ACC000533,Verification Pending,64.01,25,,2024-05-23,Play Store,New User,5
OPP00004906,4906,ACC000214,New User - ACC000214,Closed Won,267.33,100,2024-05-31,2024-05-06,Instagram,New User,85
OPP00004907,4907,ACC000441,Returning User - ACC000441,Closed Won,54.12,100,2024-06-07,2024-04-30,Influencer,Returning User,89
OPP00004908,4908,ACC000307,New User - ACC000307,Closed Won,265.39,100,2024-05-26,2024-04-28,TikTok,New User,24
OPP00004909,,ACC000379,New User - ACC000379,Verification Pending,68.44,50,,2024-05-26,TikTok,New User,81
OPP00004910,,ACC000080,Premium Upgrade - ACC000080,Lead,263.63,50,,2024-05-02,Referral,Premium Upgrade,73
OPP00004911,4911,ACC000827,New User - ACC000827,Closed Won,397.86,100,2024-06-04,2024-05-19,Instagram,New User,46
OPP00004912,4912,ACC000204,New User - ACC000204,Closed Won,310.86,100,2024-05-26,2024-05-08,Google Ads,New User,58
OPP00004913,4913,ACC000991,New User - ACC000991,Closed Won,150.10,100,2024-06-06,2024-05-24,App Store,New User,44
OPP00004914,4914,ACC000768,Premium Upgrade - ACC000768,Closed Won,227.25,100,2024-05-30,2024-05-14,Email,Premium Upgrade,76
OPP00004915,,ACC000542,New User - ACC000542,Verification Pending,170.38,10,,2024-05-17,Instagram,New User,
OPP00004916,4916,ACC000934,Returning User - ACC000934,Closed Won,101.46,100,2024-06-07,2024-04-28,Influencer,Returning User,45
OPP00004917,,ACC000204,Returning User - ACC000204,Activated,198.10,50,,2024-05-04,TikTok,Returning User,
OPP00004918,,ACC000625,New User - ACC000625,Signup Complete,258.67,10,,2024-05-14,Influencer,New User,31
OPP00004919,4919,ACC000918,New User - ACC000918,Closed Won,304.63,100,2024-05-30,2024-04-26,App Store,New User,82
OPP00004920,,ACC000824,New User - ACC000824,Activated,252.37,10,,2024-05-04,Play Store,New User,
OPP00004921,4921,ACC000987,New User - ACC000987,Closed Won,162.75,100,2024-05-28,2024-05-19,Influencer,New User,81
OPP00004922,,ACC000072,New User - ACC000072,Lead,153.43,75,,2024-05-05,Organic Search,New User,64
OPP00004923,,ACC000349,New User - ACC000349,Activated,206.92,75,,2024-05-05,Play Store,New User,100
OPP00004924,4924,ACC000453,New User - ACC000453,Closed Won,423.65,100,2024-06-08,2024-05-23,Referral,New User,23
OPP00004925,4925,ACC000279,Premium Upgrade - ACC000279,Closed Won,120.48,100,2024-05-28,2024-04-28,Google Ads,Premium Upgrade,64
OPP00004926,,ACC000103,Premium Upgrade - ACC000103,Lead,120.99,75,,2024-04-28,Organic Search,Premium Upgrade,
OPP00004927,,ACC000368,New User - ACC000368,Activated,205.67,75,,2024-04-30,App Store,New User,40
OPP00004928,,ACC000654,New User - ACC000654,Activated,159.55,75,,2024-05-13,Instagram,New User,12
OPP00004929,,ACC000019,New User - ACC000019,Verification Pending,210.17,75,,2024-05-21,Organic Search,New User,
OPP00004930,4930,ACC000541,New User - ACC000541,Closed Won,238.45,100,2024-06-04,2024-05-25,TikTok,New User,26
OPP00004931,4931,ACC000433,New User - ACC000433,Closed Won,396.87,100,2024-06-03,2024-05-25,Organic Search,New User,100
OPP00004932,4932,ACC000718,New User - ACC000718,Closed Won,96.62,100,2024-06-03,2024-05-03,Organic Search,New User,17
OPP00004933,,ACC000834,New User - ACC000834,Verification Pending,156.73,75,,2024-05-14,Instagram,New User,44
OPP00004934,,ACC000096,New User - ACC000096,Activated,130.61,75,,2024-05-17,Instagram,New User,
OPP00004935,,ACC000766,New User - ACC000766,Activated,278.20,50,,2024-05-23,App Store,New User,21
OPP00004936,,ACC000549,New User - ACC000549,Activated,147.60,50,,2024-05-22,Facebook Ads,New User,83
OPP00004937,,ACC000233,Returning User - ACC000233,Signup Complete,242.30,50,,2024-05-22,Facebook Ads,Returning User,62
OPP00004938,,ACC000202,New User - ACC000202,Signup Complete,213.02,25,,2024-04-28,Google Ads,New User,1
OPP00004939,,ACC000965,Premium Upgrade - ACC000965,Activated,102.03,10,,2024-05-25,Instagram,Premium Upgrade,80
OPP00004940,,ACC000105,New User - ACC000105,Signup Complete,160.23,10,,2024-05-11,TikTok,New User,49
OPP00004941,4941,ACC000980,Returning User - ACC000980,Closed Won,266.51,100,2024-06-03,2024-05-24,Facebook Ads,Returning User,97
OPP00004942,,ACC000260,New User - ACC000260,Lead,206.92,75,,2024-05-08,Play Store,New User,
OPP00004943,,ACC000317,Returning User - ACC000317,Lead,114.30,10,,2024-05-08,Organic Search,Returning User,
OPP00004944,,ACC000930,New User - ACC000930,Activated,62.18,10,,2024-05-16,Google Ads,New User,94
OPP00004945,,ACC000844,New User - ACC000844,Activated,119.01,10,,2024-05-12,Facebook Ads,New User,
OPP00004946,,ACC000265,New User - ACC000265,Activated,86.55,50,,2024-05-08,Email,New User,93
OPP00004947,,ACC000332,New User - ACC000332,Signup Complete,201.99,50,,2024-05-26,Play Store,New User,7
OPP00004948,,ACC000717,New User - ACC000717,Activated,134.32,10,,2024-05-09,Play Store,New User,93
OPP00004949,,ACC000590,New User - ACC000590,Activated,61.94,10,,2024-05-26,Organic Search,New User,22
OPP00004950,,ACC000676,Returning User - ACC000676,Signup Complete,285.17,50,,2024-05-05,App Store,Returning User,7
OPP00004951,4951,ACC000961,New User - ACC000961,Closed Won,153.66,100,2024-06-06,2024-05-09,Referral,New User,6
OPP00004952,,ACC000830,Returning User - ACC000830,Verification Pending,87.89,50,,2024-05-23,Influencer,Returning User,95
OPP00004953,4953,ACC000419,New User - ACC000419,Closed Won,182.30,100,2024-05-29,2024-04-30,App Store,New User,
OPP00004954,,ACC000519,New User - ACC000519,Activated,81.73,50,,2024-04-29,TikTok,New User,2
OPP00004955,,ACC000534,New User - ACC000534,Signup Complete,231.60,25,,2024-05-09,App Store,New User,
OPP00004956,,ACC000140,Premium Upgrade - ACC000140,Verification Pending,198.68,25,,2024-05-22,App Store,Premium Upgrade,21
OPP00004957,,ACC000577,New User - ACC000577,Signup Complete,99.04,25,,2024-05-10,Play Store,New User,4
OPP00004958,,ACC000081,Premium Upgrade - ACC000081,Signup Complete,61.89,25,,2024-05-03,App Store,Premium Upgrade,
OPP00004959,,ACC000798,New User - ACC000798,Signup Complete,283.63,10,,2024-04-29,Google Ads,New User,
OPP00004960,,ACC000490,New User - ACC000490,Signup Complete,150.81,10,,2024-05-10,Organic Search,New User,84
OPP00004961,,ACC000279,Returning User - ACC000279,Activated,129.98,75,,2024-05-06,Referral,Returning User,61
OPP00004962,,ACC000539,New User - ACC000539,Signup Complete,115.44,75,,2024-05-12,TikTok,New User,68
OPP00004963,,ACC000694,New User - ACC000694,Activated,174.26,75,,2024-05-28,Play Store,New User,82
OPP00004964,,ACC000226,New User - ACC000226,Verification Pending,232.28,75,,2024-05-06,Google Ads,New User,15
OPP00004965,4965,ACC000710,Returning User - ACC000710,Closed Won,346.31,100,2024-05-28,2024-05-02,Instagram,Returning User,5
OPP00004966,4966,ACC000412,Returning User - ACC000412,Closed Won,209.49,100,2024-06-09,2024-05-05,Email,Returning User,19
OPP00004967,,ACC000986,New User - ACC000986,Activated,161.70,10,,2024-05-13,App Store,New User,
OPP00004968,4968,ACC000657,New User - ACC000657,Closed Won,135.69,100,2024-05-31,2024-05-21,Email,New User,29
OPP00004969,,ACC000884,New User - ACC000884,Activated,285.81,50,,2024-04-28,Email,New User,
OPP00004970,,ACC000492,New User - ACC000492,Activated,77.08,10,,2024-05-17,TikTok,New User,
OPP00004971,,ACC000099,New User - ACC000099,Activated,222.81,50,,2024-05-28,Instagram,New User,
OPP00004972,,ACC000574,Returning User - ACC000574,Activated,112.83,75,,2024-05-24,Instagram,Returning User,
OPP00004973,,ACC000367,New User - ACC000367,Activated,282.77,10,,2024-05-13,Email,New User,
OPP00004974,,ACC000099,New User - ACC000099,Signup Complete,117.50,50,,2024-05-22,Email,New User,
OPP00004975,,ACC000427,New User - ACC000427,Activated,109.61,25,,2024-05-07,Play Store,New User,
OPP00004976,,ACC000157,New User - ACC000157,Signup Complete,210.08,50,,2024-04-28,Influencer,New User,
OPP00004977,,ACC000062,Premium Upgrade - ACC000062,Signup Complete,278.12,10,,2024-05-15,Influencer,Premium Upgrade,12
OPP00004978,,ACC000810,Returning User - ACC000810,Activated,79.00,10,,2024-05-03,Referral,Returning User,52
OPP00004979,4979,ACC000102,New User - ACC000102,Closed Won,382.20,100,2024-06-04,2024-05-24,Play Store,New User,
OPP00004980,,ACC000293,New User - ACC000293,Verification Pending,238.37,10,,2024-05-25,Play Store,New User,51
OPP00004981,,ACC000168,New User - ACC000168,Signup Complete,296.92,25,,2024-05-19,Influencer,New User,16
OPP00004982,4982,ACC000086,Returning User - ACC000086,Closed Won,253.76,100,2024-06-08,2024-05-22,Organic Search,Returning User,96
OPP00004983,,ACC000095,New User - ACC000095,Signup Complete,278.76,25,,2024-05-08,Influencer,New User,9
OPP00004984,,ACC000516,New User - ACC000516,Activated,234.88,75,,2024-04-28,Facebook Ads,New User,54
OPP00004985,,ACC000563,Returning User - ACC000563,Activated,84.97,25,,2024-05-17,Instagram,Returning User,
OPP00004986,,ACC000463,Premium Upgrade - ACC000463,Signup Complete,262.14,25,,2024-05-21,Referral,Premium Upgrade,10
OPP00004987,,ACC000755,New User - ACC000755,Activated,92.74,75,,2024-05-14,Google Ads,New User,53
OPP00004988,4988,ACC000541,Returning User - ACC000541,Closed Won,68.13,100,2024-06-10,2024-05-09,Instagram,Returning User,55
OPP00004989,,ACC000263,New User - ACC000263,Activated,241.48,25,,2024-05-21,TikTok,New User,88
OPP00004990,4990,ACC000324,New User - ACC000324,Closed Won,90.96,100,2024-06-07,2024-05-11,Organic Search,New User,51
OPP00004991,,ACC000892,New User - ACC000892,Lead,52.40,75,,2024-05-08,Influencer,New User,3
OPP00004992,,ACC000668,New User - ACC000668,Lead,89.33,50,,2024-05-19,Facebook Ads,New User,78
OPP00004993,,ACC000202,New User - ACC000202,Verification Pending,51.66,25,,2024-05-15,Influencer,New User,
OPP00004994,4994,ACC000987,New User - ACC000987,Closed Won,226.29,100,2024-06-10,2024-05-03,Facebook Ads,New User,
OPP00004995,4995,ACC000286,New User - ACC000286,Closed Won,60.05,100,2024-06-11,2024-05-22,Google Ads,New User,78
OPP00004996,4996,ACC000515,Returning User - ACC000515,Closed Won,472.97,100,2024-06-12,2024-05-22,App Store,Returning User,6
OPP00004997,,ACC000363,New User - ACC000363,Lead,266.86,75,,2024-05-22,Instagram,New User,37
OPP00004998,,ACC000116,New User - ACC000116,Signup Complete,297.80,50,,2024-05-29,Referral,New User,38
OPP00004999,,ACC000163,Premium Upgrade - ACC000163,Verification Pending,144.55,10,,2024-05-25,Facebook Ads,Premium Upgrade,22
OPP00005000,,ACC000669,Returning User - ACC000669,Activated,107.46,25,,2024-05-01,Influencer,Returning User,92
OPP00005001,,ACC000350,New User - ACC000350,Activated,165.76,10,,2024-05-14,Referral,New User,50
OPP00005002,,ACC000248,New User - ACC000248,Activated,230.67,50,,2024-05-29,Google Ads,New User,12
OPP00005003,,ACC000559,New User - ACC000559,Lead,76.14,50,,2024-05-25,Referral,New User,72
